2021-09-24 11:55:31 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 11:55:31 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 11:55:31 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 11:55:31 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 11:55:31 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 11:55:31 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-25 23:09:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:53 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:53 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:53 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:54 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:09:56 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:10:07 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:10:59 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:12:08 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:29 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:30 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:35 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:13:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
2021-09-25 23:15:52 INFO  Benchmark_Timer - Begin run: time with 5 runs
